"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","controller","HCI_CMD","10","Sent LE Set Random Address"
"2","0.001267","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Random Address)"
"3","0.001289","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters"
"4","0.002258","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)"
"5","0.002386","host","controller","HCI_CMD","6","Sent LE Set Scan Enable"
"6","0.003258","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)"
"7","0.050393","controller","host","HCI_EVT","42","Rcvd LE Meta (LE Advertising Report)"
"8","0.051317","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)"
"9","0.106405","controller","host","HCI_EVT","38","Rcvd LE Meta (LE Advertising Report)"
"10","0.109314","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)"
"11","0.123322","controller","host","HCI_EVT","43","Rcvd LE Meta (LE Advertising Report)"
"12","0.130051","host","controller","HCI_CMD","6","Sent LE Set Scan Enable"
"13","0.132267","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)"
"14","0.139056","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters"
"15","0.140317","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)"
"16","0.140367","host","controller","HCI_CMD","6","Sent LE Set Scan Enable"
"17","0.141293","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)"
"18","0.215325","controller","host","HCI_EVT","38","Rcvd LE Meta (LE Advertising Report)"
"19","0.215457","host","controller","HCI_CMD","6","Sent LE Set Scan Enable"
"20","0.218301","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)"
"21","0.218460","host","controller","HCI_CMD","29","Sent LE Create Connection"
"22","0.219359","controller","host","HCI_EVT","7","Rcvd Command Status (LE Create Connection)"
"23","0.318326","controller","host","HCI_EVT","22","Rcvd LE Meta (LE Connection Complete)"
"24","0.326453","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"25","0.327265","controller","host","HCI_EVT","7","Rcvd Command Status (LE Read Remote Features)"
"26","0.437317","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"27","0.437726","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 517"
"28","0.709444","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"29","0.731551","dc:23:52:10:bc:7f (kosmo)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 247"
"30","0.732053","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","12","Sent Read Request, Handle: 0x0003 (Unknown)"
"31","0.959407","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"32","1.024471","dc:23:52:10:bc:7f (kosmo)","localhost ()","ATT","15","Rcvd Read Response, Handle: 0x0003 (Unknown)"
"33","1.024772","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","12","Sent Read Request, Handle: 0x0005 (Unknown)"
"34","1.316555","dc:23:52:10:bc:7f (kosmo)","localhost ()","ATT","12","Rcvd Read Response, Handle: 0x0005 (Unknown)"
"35","1.316900","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","16","Sent Read By Type Request, Server Supported Features, Handles: 0x0001..0xffff"
"36","1.334410","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"37","1.584330","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"38","1.608449","dc:23:52:10:bc:7f (kosmo)","localhost ()","ATT","14","Rcvd Error Response - Attribute Not Found, Handle: 0x0001 (Unknown)"
"39","1.608834","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","16","Sent Read By Group Type Request, Primary Service, Handles: 0x0001..0xffff"
"40","1.834423","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"41","1.901452","dc:23:52:10:bc:7f (kosmo)","localhost ()","ATT","29","Rcvd Read By Group Type Response, Attribute List Length: 3, GAP, GATT, Hangzhou Tuya Information  Technology Co., Ltd"
"42","1.933752","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","14","Sent Write Request, Handle: 0x000b (GATT: Unknown)"
"43","1.945280","localhost ()","dc:23:52:10:bc:7f (kosmo)","HCI_ACL","32","Sent  [Reassembled in #44]"
"44","1.945324","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","21","Sent Write Command, Handle: 0x000e (Unknown)"
"45","1.996872","localhost ()","dc:23:52:10:bc:7f (kosmo)","HCI_ACL","32","Sent  [Reassembled in #48]"
"46","1.996923","localhost ()","dc:23:52:10:bc:7f (kosmo)","HCI_ACL","32","Sent  [Continuation to #45] [Reassembled in #48]"
"47","1.996931","localhost ()","dc:23:52:10:bc:7f (kosmo)","HCI_ACL","32","Sent  [Continuation to #45] [Reassembled in #48]"
"48","1.996938","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","15","Sent Write Command, Handle: 0x000e (Unknown)"
"49","1.998294","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"50","2.095483","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"51","2.096308","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"52","2.194464","dc:23:52:10:bc:7f (kosmo)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000b (GATT: Unknown)"
"53","2.334414","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"54","7.053622","localhost ()","dc:23:52:10:bc:7f (kosmo)","HCI_ACL","32","Sent  [Reassembled in #55]"
"55","7.053675","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","21","Sent Write Command, Handle: 0x000e (Unknown)"
"56","7.069439","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"57","7.105158","localhost ()","dc:23:52:10:bc:7f (kosmo)","HCI_ACL","32","Sent  [Reassembled in #60]"
"58","7.105210","localhost ()","dc:23:52:10:bc:7f (kosmo)","HCI_ACL","32","Sent  [Continuation to #57] [Reassembled in #60]"
"59","7.105218","localhost ()","dc:23:52:10:bc:7f (kosmo)","HCI_ACL","32","Sent  [Continuation to #57] [Reassembled in #60]"
"60","7.105226","localhost ()","dc:23:52:10:bc:7f (kosmo)","ATT","15","Sent Write Command, Handle: 0x000e (Unknown)"
"61","7.166501","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"62","7.262368","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"63","7.750444","controller","host","HCI_EVT","7","Rcvd Disconnect Complete"
